,"doc_std_name","doc_std_name_id","check","orbis_id","orbis_name","name_type_x","number_patents","elastic_score","levensthein_score","jaro_winkler_score","ratcliff_obershelp_score","pam_score","query","guo_bvd_id","guo_name"
584,"TAGSYS AUSTRALIA PTY LTD",627725,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",21,13,74,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
724,"ASOKA USA CORP",1015645,"n","US*901564392","ALCOA USA CORP","original",21,12,86,1,1,72,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
449,"ITW NEW ZEALAND LTD",750043,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",20,14,76,1,1,72,"restricted_to_jurisdiction","US940479804","FMC CORP"
769,"ANCRA INTERNATIONAL LLC",244270,"n","US319116437L","FMC INTERNATIONAL LLC","original",20,11,86,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
105,"ORION DIAGNOSTICA OY",202980,"x","FI16022597","ORION EXPORT OY","original",19,17,63,1,1,74,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
251,"PARAT BETEILIGUNGS GMBH",1835586,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",19,15,70,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
252,"PARAT BETEILIGUNGS GMBH",1835586,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",19,15,70,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
363,"ALLNEX AUSTRIA GMBH",19416628,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",19,14,70,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
364,"ALLNEX AUSTRIA GMBH",19416628,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",19,14,70,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
779,"REGALO INTERNATIONAL LLC",2625548,"n","US319116437L","FMC INTERNATIONAL LLC","original",19,11,76,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
979,"IRIS INTERNATIONAL INC",1064298,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",19,10,83,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
313,"SML VERWALTUNGS GMBH",2000882,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",18,15,63,1,1,70,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
540,"BIOMET DEUTSCHLAND GMBH",66713,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",18,13,67,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
54,"RFID MEXICO SA DE CV",1811422,"n","MXFME651206SI6","FMC DE MEXICO SA","original",17,18,67,1,1,74,"restricted_to_jurisdiction","US940479804","FMC CORP"
151,"KUFFERATH ANDREAS GMBH",216385,"n","DE6190027631","ANDREAS MEYER-STRAÃƒÂŒÃƒÂ™E 31-35 GMBH","original",17,16,62,1,0,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
947,"TRANE INTERNATIONAL INC",2778249,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",17,10,82,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
517,"GEISTLICH PHARMA AG",345715,"n","CHCHE107308273","ORION PHARMA AG","original",16,13,65,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
648,"IGC AUSTRALIA PTY LTD",746265,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",16,13,79,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
18,"KOKI TECHNIK SEATING SYSTEMS G",9598945,"x","DE3030110139","KOKI-TECHNIK TRANSMISSION SYSTEMS GMBH","original",15,20,65,1,1,76,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
19,"KOKI TECHNIK SEATING SYSTEMS G",9598945,"x","DE3030110139","KOKI-TECHNIK TRANSMISSION SYSTEMS GMBH","original",15,20,65,1,1,76,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
84,"SKANSKA SVERIGE AB",5696,"n","SE5565470258","METABO SVERIGE AB","original",15,17,69,1,1,75,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
110,"DEFENDI ITALY SRL",18839083,"n","IT03458890963","DUPONT NUTRITION ITALY SRL","original",15,17,56,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
456,"HORIBA EUROPE GMBH",23442575,"n","DE5210346672","KOKI HOLDINGS EUROPE GMBH","original",15,14,70,1,1,68,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
471,"NYCOMED PHARMA AS",118541,"n","NO967727970","ORION PHARMA AS","original",15,14,69,1,1,68,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
570,"BOEHRINGER WERKZEUGMASCHINEN",374458,"n","DE6190007305","BOEHRINGER INGELHEIM GMBH","original",15,13,64,1,1,66,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
854,"PETRO CANADA INC",274759,"n","CA133235658L","MERIAL CANADA INC","original",15,11,79,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
855,"PETRO CANADA INC",274759,"n","CA133235658L","MERIAL CANADA INC","original",15,11,79,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
3,"FMC TECHNOLOGIES DO BRASIL LTDA",20733888,"n","BR04136367000198","FMC QUIMICA BRASIL LTDA .","original",14,22,63,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
176,"MINDSINSYNC HONG KONG LTD",18817031,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",14,16,65,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
385,"CYTEC AUSTRIA GMBH",314229,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",14,14,72,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
386,"CYTEC AUSTRIA GMBH",314229,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",14,14,72,1,1,69,"restricted_to_jurisdiction","US940479804","FMC CORP"
403,"KATHREIN AUSTRIA GMBH",18156970,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",14,14,57,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
404,"KATHREIN AUSTRIA GMBH",18156970,"n","AT9030094309","FMC AGRO AUSTRIA GMBH","original",14,14,57,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
438,"COMVITA NEW ZEALAND LTD",1998637,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",14,14,74,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
638,"NEC AUSTRALIA PTY LTD",4957394,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",14,13,79,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
713,"BURLINGTON INDUSTRIES INC",1144908,"n","US129589198L","HILITE INDUSTRIES INC","original",14,12,78,1,1,66,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
744,"ASTRAL POOL AUSTRALIA PTY LTD",1799150,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",14,12,78,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
807,"FLIPCHIP INTERNATIONAL LLC",2599546,"n","US319116437L","FMC INTERNATIONAL LLC","original",14,11,85,1,1,71,"restricted_to_jurisdiction","US940479804","FMC CORP"
876,"LIPO CHEMICALS INC",167423,"n","US132427712L","BI CHEMICALS INC","original",14,11,76,1,1,71,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
877,"LIPO CHEMICALS INC",167423,"n","US132427712L","BI CHEMICALS INC","original",14,11,76,1,1,71,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
886,"KEMIRA CHEMICALS INC",685307,"n","US132517579L","BI CHEMICALS INC","original",14,11,72,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
887,"KEMIRA CHEMICALS INC",685307,"n","US132517579L","BI CHEMICALS INC","original",14,11,72,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
962,"NAC INTERNATIONAL INC",2304532,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",14,10,81,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
245,"BDD BETEILIGUNGS GMBH",1105980,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",13,15,65,1,1,73,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
246,"BDD BETEILIGUNGS GMBH",1105980,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",13,15,65,1,1,73,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
331,"TE CONNECTIVITY INDIA PRIVATE LTD",19485371,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",13,15,66,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
332,"TE CONNECTIVITY INDIA PRIVATE LTD",19485371,"n","IN0000024469","FMC INDIA PRIVATE LIMITED","original",13,15,66,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
519,"ACINO PHARMA AG",275936,"n","CHCHE107308273","ORION PHARMA AG","original",13,13,67,1,1,71,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
671,"DIGGA AUSTRALIA PTY LTD",923516,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",13,13,76,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
970,"TOMY INTERNATIONAL INC",4064412,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",13,10,79,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
21,"STEAG MICROPARTS GMBH",236290,"n","DE4070156698","BOEHRINGER INGELHEIM MICROPARTS GMBH","original",12,19,53,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
22,"STEAG MICROPARTS GMBH",236290,"n","DE4070156698","BOEHRINGER INGELHEIM MICROPARTS GMBH","original",12,19,53,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
118,"INGELHEIM CONSULTING GMBH",9587623,"n","DE6190314269","BOEHRINGER INGELHEIM BIOPHARMACEUTICALS GMBH","original",12,16,61,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
119,"INGELHEIM CONSULTING GMBH",9587623,"n","DE6190314269","BOEHRINGER INGELHEIM BIOPHARMACEUTICALS GMBH","original",12,16,61,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
320,"WEIR MINERALS INDIA PRIVATE LTD",18913726,"n","IN0002900316","FMC INDIA PRIVATE LIMITED","original",12,15,64,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
611,"LEWIS AUSTRALIA PTY LTD",4458027,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",12,13,76,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
806,"THI INTERNATIONAL LLC",833896,"n","US319116437L","FMC INTERNATIONAL LLC","original",12,11,81,1,1,70,"restricted_to_jurisdiction","US940479804","FMC CORP"
525,"SLA PHARMA AG",228185,"n","CHCHE107308273","ORION PHARMA AG","original",11,13,64,1,1,68,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
541,"CAVERION DEUTSCHLAND GMBH",21968050,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",11,13,68,1,1,67,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
165,"DURAFLEX HONG KONG LTD",2142426,"n","HK0005647873","MERIAL HONG KONG LIMITED","original",10,16,57,1,1,72,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
296,"CALSITHERM VERWALTUNGS GMBH",1829741,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",10,15,62,1,1,71,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
630,"IMPRESS AUSTRALIA PTY LTD",443146,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",10,13,72,1,1,66,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
946,"LUND INTERNATIONAL INC",2456752,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",10,10,83,1,1,69,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
968,"SRI INTERNATIONAL INC",2569758,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",10,10,81,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
261,"ERDRICH BETEILIGUNGS GMBH",248937,"n","DE7330740815","METABO GRUNDSTÃƒÂŒÃƒÂCKSVERWALTUNG BETEILIGUNGS-GMBH","original",9,15,54,1,1,66,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
265,"NARR BETEILIGUNGS GMBH",390347,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",9,15,72,1,1,75,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
266,"NARR BETEILIGUNGS GMBH",390347,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",9,15,72,1,1,75,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
536,"THERMO ORION INC",1600640,"n","US*290244220","ORION PHARMA INC .","original",9,13,81,1,1,69,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
730,"LOSAN PHARMA GMBH",169186,"n","DE2150198453","ORION PHARMA GMBH","original",9,12,82,1,1,69,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
737,"CHAMBERLAIN AUSTRALIA PTY LTD",4169877,"n","AU110199169","CHEMINOVA AUSTRALIA PTY LIMITED","original",9,12,77,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
738,"CHAMBERLAIN AUSTRALIA PTY LTD",4169877,"n","AU110199169","CHEMINOVA AUSTRALIA PTY LIMITED","original",9,12,77,1,1,67,"restricted_to_jurisdiction","US940479804","FMC CORP"
987,"KWE INTERNATIONAL INC",1103136,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",9,10,81,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
307,"NICOLAY VERWALTUNGS GMBH",2909286,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",8,15,62,1,1,70,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
427,"NEW ZEALAND POST LTD",857432,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",8,14,70,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
436,"KOHLER NEW ZEALAND LTD",663407,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",8,14,71,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
462,"ACTERNA GERMANY GMBH",598724,"n","DE2012464265","AVICEM GERMANY MANAGEMENT GMBH","original",8,14,64,1,1,66,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
557,"BENTELER DEUTSCHLAND GMBH",26602,"n","DE6190197069","BOEHRINGER INGELHEIM DEUTSCHLAND GMBH","original",8,13,71,1,1,69,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
588,"CHUBPAK AUSTRALIA PTY LTD",4870879,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",8,13,72,1,1,67,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
593,"ROFIN AUSTRALIA PTY LTD",385083,"n","AU058452556","ACAP AUSTRALIA PTY LTD","original",8,13,76,1,1,68,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
892,"INSYS PHARMA INC",22618972,"n","US*290244220","ORION PHARMA INC .","original",8,11,81,1,1,67,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
942,"KENYON INTERNATIONAL INC",1123638,"n","US128916769L","REYNOLDS INTERNATIONAL INC","original",8,10,84,1,1,70,"restricted_to_jurisdiction","US811789115","ALCOA CORPORATION"
23,"HONEYWELL ROMANIA SRL",1920199,"n","RO28760766","ORION PHARMA ROMANIA SRL","original",7,19,62,1,1,69,"restricted_to_jurisdiction","FI19992126","ORION OYJ"
82,"SCANMASKIN SVERIGE AB",1078768,"n","SE5565470258","METABO SVERIGE AB","original",7,17,68,1,1,74,"restricted_to_jurisdiction","JP2120001139864","KOKI HOLDINGS CO."
185,"OSMOSE NEW ZEALAND",5286685,"n","NZ9429032493290","FMC NEW ZEALAND LIMITED","original",7,16,54,1,1,68,"restricted_to_jurisdiction","US940479804","FMC CORP"
223,"INVENSYS CONTROLS ITALY SRL",247327,"n","IT03458890963","DUPONT NUTRITION ITALY SRL","original",7,15,49,1,1,66,"restricted_to_jurisdiction","US940479804","FMC CORP"
253,"BPG BETEILIGUNGS GMBH",9825496,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",7,15,69,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
254,"BPG BETEILIGUNGS GMBH",9825496,"n","DE6070640783","KOKINETICS CZ BETEILIGUNGS GMBH","original",7,15,69,1,1,74,"restricted_to_jurisdiction","CN*J00S4140","AVIC ELECTROMECHANICAL SYSTEMS CO."
294,"HW VERWALTUNGS GMBH",1890018,"n","DE6190255023","BOEHRINGER INGELHEIM VERWALTUNGS GMBH","original",7,15,64,1,1,68,"restricted_to_jurisdiction","DE6190007083","C.H. BOEHRINGER SOHN AG & CO. KG"
